service_name,name,description,url
cards,null,Forte,https://forte.kz
cards,null,"Покупайте, оплачивайте и получайте бонусы",null
cards,Яндекс Плюс Forte,Карта с кешбэком баллами Плюса Бесплатный выпуск и обслуживание картыПодписка Яндекс Плюс на 60 дней бесплатно для новых пользователейДо 20% кешбэка баллами Плюса в сервисах Яндекса1% кешбэка баллами Плюса на все покупки вне экосистемы ЯндексаБесплатные переводы до 1 000 000 ₸ в месяц,https://yandex.forte.kz/
cards,Travel,"Карта для ваших путешествий •  Бесплатное снятие наличных до 750 000 ₸ в месяц во всех банкоматах мира
• Расширенное страхование путешествий
• Гарантированные бонусы на категорию ""Путешествия""",https://bank.forte.kz/cards/travelcard
cards,Blue,"Лучшая карта для вашей зарплаты • Бесплатный выпуск и обслуживание в первый год
• Бесплатная доставка домой или в офис
• Бесплатные переводы до 500 000 ₸ в месяц
• Бесплатные снятия наличных до 500 000 ₸ в месяц
•Повышенные бонусы до 20 %",https://forte.kz/blue
cards,Black,"Карта для всех денег • Бесплатный выпуск и обслуживание в первый год
• Бесплатная доставка домой или в офис
• Бесплатные переводы до 500 000 ₸в месяц
• Рассрочка до и после покупки до 3 000 000 ₸
• До 90 дней без процентов со дня покупки",https://forte.kz/black
cards,Solo Signature,"• Бонусы до 100 000 ₸
• Доступ в бизнес-залы аэропортов
• Консьерж-сервис 24/7 • Бонусы до 100 000 ₸
• Доступ в бизнес-залы аэропортов
• Консьерж-сервис 24/7",https://bank.forte.kz/solosegment/signature#!
cards,Solo Black Edition,"• Доступы в залы Lounge Key
• Страхование путешественников
• Бесплатные переводы • Доступы в залы Lounge Key
• Страхование путешественников
• Бесплатные переводы",https://bank.forte.kz/solosegment/solo-mc-black-edition
cards,null,"Детская карта Forte • Бесплатный выпуск и обслуживание карты
• Бесплатная доставка курьером карты
• Бесплатные переводы до 30 000 тенге в месяц
• Контроль покупок и управление лимитами",https://forte.kz/kids
cards,null,Документы ,https://main.storage-object.pscloud.io/Dogovor_o_vydache_i_obsluzhivanii_platezhnyh_kartochek_s_fizicheskim_liczom_31_RU_72b3e17ea8.pdf
credits,Кредит наличными,"[<span class=""MuiTypography-root sc-bdnylx ixJeEc MuiTypography-colorInherit MuiTypography-gutterBottom"">
• от 50 000 до 8 000 000 ₸ 
• от 6 до 60 месяцев 
• От 17,0% годовых до 37,9% годовых (ГЭСВ от 18,7% годовых до 46% годовых)
</span>]",/ru/credits/express
credits,Рефинансирование,"[<span class=""MuiTypography-root sc-bdnylx ixJeEc MuiTypography-colorInherit MuiTypography-gutterBottom"">
• Рефинансируйте кредиты и платите меньше!<br/>• от 17,0% годовых до 37,9% годовых (ГЭСВ от 18,7%  до 46% годовых)
• от 50 000 до 8 000 000 ₸
• от 6 до 60 месяцев</span>]",#
credits,Рассрочка,"[<span class=""MuiTypography-root sc-bdnylx ixJeEc MuiTypography-colorInherit MuiTypography-gutterBottom"">
• рассрочка от 10 000 до 3 000 000 ₸
• от 3 мес. – 12 мес.
• 0% годовых </span>]",/ru/rassrochka
credits,Залоговый кредит,"[<span class=""MuiTypography-root sc-bdnylx ixJeEc MuiTypography-colorInherit MuiTypography-gutterBottom"">
• от 500 000 до 200 000 000 ₸<br/>• от 12 до 120 месяцев 
• от 19,99% до 20,99 % годовых (ГЭСВ от 20,8 % до 35 %) </span>]",/ru/credits/neotlozhnye-nuzhdy
credits,Рефинансиро вание залоговое,"[<span class=""MuiTypography-root sc-bdnylx ixJeEc MuiTypography-colorInherit MuiTypography-gutterBottom"">
• от 500 000 до 200 000 000 ₸ 
• от 12 до 120 месяцев 
• выгодные ставки от 15 % до 18,99 % годовых (ГЭСВ от 16,1 % до 35 %) 
</span>]",https://bank.forte.kz/credits/refenansirovanye-zalogovyh-creditov
credits,Ипотека  с залогом,"[<span class=""MuiTypography-root sc-bdnylx ixJeEc MuiTypography-colorInherit MuiTypography-gutterBottom"">
• от 500 000 до 200 000 000 ₸ 
• от 60 до 180 месяцев 
• От 17,5% годовых до 20% годовых (ГЭСВ от 19,5% до 25% годовых)
• Первоначальный взнос от 15%
</span>]",credits/ipoteka
credits,Автокредит,"[<span class=""MuiTypography-root sc-bdnylx ixJeEc MuiTypography-colorInherit MuiTypography-gutterBottom"">
• от 1 000 000 до 35 000 000 ₸
• от 12 до 84 месяцев
• от 0,01% до 22,5% годовых (ГЭСВ от 0,1% до 25,3%)
• первоначальный взнос от 10%
</span>]",/ru/auto-loan
credits,Льготный автокредит,"[<span class=""MuiTypography-root sc-bdnylx ixJeEc MuiTypography-colorInherit MuiTypography-gutterBottom"">
• от 1 000 000 до 10 000 000 ₸
• до 7 лет
• 4% годовых (ГЭСВ от 4,2%  до 7,5%)
</span>]",/ru/autoloans
credits,7–20–25,"[<span class=""MuiTypography-root sc-bdnylx ixJeEc MuiTypography-colorInherit MuiTypography-gutterBottom"">
• от 500 000 до 20 000 000 ₸
• срок займа до 25 лет
• первоначальный взнос от 20%
• 7% (ГЭСВ – 7,2%)</span>]",/ru/autoloans
